National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2014,Delaware,"$303,256","$69,459","$28,918","$19,773",$0,"$21,042",$0,$0,"$6,082",$0,"$109,814",$0,"$31,150",$0,"$5,862",$144,"$2,060",$952,"$8,000",$0,$0,$0
2014,District of Columbia,"$159,720","$30,457","$12,816",$0,"$7,639",$455,$0,$0,"$4,139",$0,"$66,691",$0,"$9,890",$0,$0,$978,"$3,756",$0,"$22,898",$0,$0,$0
2014,Florida,"$11,820,888","$2,412,383","$1,051,871","$178,447","$935,870","$789,818","$2,012","$6,097","$185,255","$1,586","$3,477,218","$20,212","$1,422,291","$358,340","$18,899","$171,972","$213,671","$114,740","$279,232","$177,559",$19,"$3,397"
2014,Georgia,"$7,798,633","$1,918,426","$782,502","$64,007","$478,354","$865,082","$189,029",$0,"$223,833",$0,"$2,003,786",$400,"$834,078","$16,421","$14,899","$131,234","$30,099","$46,892","$2,099","$175,116",$392,"$21,984"
2014,Hawaii,"$1,633,045","$249,334","$353,524","$28,992","$49,585","$97,978",$0,"$23,880","$6,883",$0,"$391,266",$0,"$68,725","$153,849",$0,"$3,359","$9,696","$13,905","$142,479","$21,766",$0,"$17,825"
2014,Idaho,"$1,267,316","$324,540","$104,834","$38,721","$18,226","$115,366",$0,$0,"$50,321","$4,400","$346,115","$27,176","$121,568","$1,373",$0,"$55,195","$4,772","$16,593","$12,847","$22,516","$2,751",$0
2014,Illinois,"$12,310,898","$2,354,824","$794,628","$226,209","$179,385","$898,100","$672,662","$13,704","$768,243","$19,404","$1,790,099","$1,048,852","$778,626","$480,256","$16,319","$208,381","$64,575","$1,882,595","$74,514","$31,604",$765,"$7,153"
2014,Indiana,"$7,071,994","$2,233,818","$544,891","$54,182","$255,312","$787,029",$0,$0,"$409,776","$17,711","$1,452,440","$7,760","$449,631","$87,800",$0,"$204,180","$390,645","$26,716","$71,271","$43,636","$29,463","$5,732"
2014,Iowa,"$5,511,208","$918,065","$504,378","$65,967","$93,927","$501,764","$1,461,969","$40,659","$302,179",$0,"$818,015","$125,607","$184,984","$5,819",$0,"$140,627","$168,115","$6,038","$71,127","$26,980",$0,"$74,988"
2014,Kansas,"$3,524,031","$836,514","$322,167","$67,895","$157,757","$336,761",$0,$0,"$269,032","$17,920","$736,884","$265,657","$228,025","$4,408","$2,458","$79,052","$27,596","$20,017","$39,857","$107,042","$1,421","$3,569"
2014,Kentucky,"$5,493,107","$1,024,907","$396,107","$151,947","$50,505","$323,459","$1,329,520",$0,"$396,220",$0,"$923,182","$20,377","$350,590","$139,867","$4,834","$81,177","$170,375","$20,703","$5,082","$67,512","$14,031","$22,714"
2014,Louisiana,"$3,947,179","$959,277","$298,919","$134,582","$380,950","$375,069","$147,649",$0,"$171,062",$0,"$807,568",$0,"$340,514","$6,302",$0,"$51,261","$68,453","$64,003","$53,364","$67,075","$11,414","$9,716"
2014,Maine,"$905,086","$221,258","$64,020","$35,574","$15,313","$90,283",$0,$0,"$54,803","$1,600","$258,412",$0,"$79,917",$0,$0,"$15,618","$37,194","$5,082","$6,458","$16,538","$1,048","$1,968"
2014,Maryland,"$6,947,189","$1,556,478","$713,494","$214,590","$207,643","$699,294",$0,"$1,097","$408,545","$421,848","$1,480,786","$329,689","$357,220","$9,764","$5,183","$61,844","$50,837","$52,594","$340,350","$19,671",$414,"$15,849"
2014,Massachusetts,"$5,023,616","$1,301,807","$373,171","$134,010","$131,401","$497,998",$0,"$45,871","$648,320","$7,020","$1,169,362",$719,"$316,137","$10,904",$222,"$42,408","$119,894","$9,218","$161,246","$42,748",$26,"$11,134"
2014,Michigan,"$16,312,004","$3,878,071","$1,412,797","$59,842","$407,370","$1,072,906","$3,001,292","$7,815","$498,969","$10,467","$1,600,635","$531,528","$718,499","$4,634",$0,"$344,814","$2,151,329","$102,172","$86,283","$271,868","$150,021",$692
2014,Minnesota,"$5,466,024","$1,281,936","$485,747","$51,679","$303,843","$620,718",$0,$0,"$175,073","$19,072","$1,183,311",$0,"$397,796","$176,664","$66,225","$218,728","$241,533",$340,"$137,849","$29,381","$12,000","$64,131"
2014,Mississippi,"$4,271,987","$606,824","$318,397","$123,132","$70,644","$294,110","$910,959",$211,"$159,313","$20,795","$946,620","$64,212","$344,610","$35,903",$0,"$85,228","$36,086","$51,850","$128,874","$68,159","$1,962","$4,099"
2014,Missouri,"$5,204,681","$1,137,210","$240,267","$88,330","$93,358","$771,827","$733,291",$0,"$160,145","$27,726","$855,363","$149,957","$395,971","$6,232","$1,807","$93,057","$295,374","$79,102",$-17,"$25,361","$48,470","$1,850"
2014,Montana,"$1,022,967","$292,172","$152,535","$15,830","$20,301","$92,129",$0,$0,"$79,964","$3,847","$211,658","$9,156","$67,090",$870,$156,"$31,186","$11,936","$6,863","$4,126","$19,417",$85,"$3,645"
2014,Nebraska,"$2,585,957","$432,489","$208,582","$38,327","$162,806","$322,429","$26,081",$0,"$114,593",$0,"$666,757","$138,933","$127,913","$5,035",$520,"$108,149","$17,545","$81,196","$58,026","$76,317",$45,$213
2014,Nevada,"$1,608,047","$372,396","$147,181","$32,132","$42,576","$92,056",$0,"$1,238","$106,805",$0,"$478,282",$0,"$124,034",$0,$0,"$38,307","$95,392","$52,372","$14,136","$10,906",$236,$0
2014,New Hampshire,"$1,092,192","$391,292","$70,075","$12,252","$37,917","$208,089",$0,$0,"$29,580",$0,"$104,119",$0,"$62,078","$1,615",$10,"$11,711","$5,340","$28,816","$17,627","$4,331","$82,774","$24,568"
2014,New Jersey,"$7,417,701","$2,159,954","$446,695","$243,644","$159,637","$606,433","$487,578","$18,596","$260,154","$8,732","$1,569,437","$199,752","$512,838","$218,624",$616,"$67,994","$158,045","$38,508","$74,397","$151,570","$32,847","$1,648"
2014,New Mexico,"$3,462,441","$288,149","$392,974","$88,557","$80,623","$114,121","$671,214","$4,550","$250,900","$18,902","$749,949","$134,655","$221,621","$43,927",$0,"$38,237","$126,957","$154,137","$44,779","$12,694","$12,585","$12,909"
2014,New York,"$16,424,873","$2,629,839","$741,789","$598,443","$607,279","$704,193","$2,499,595",$0,"$228,197","$394,982","$4,593,178","$803,784","$1,299,089","$298,029","$2,223","$71,915","$18,069","$233,356","$589,355","$104,520","$1,184","$5,853"
2014,North Carolina,"$10,846,550","$1,707,181","$879,754","$89,946","$240,257","$1,579,331",$0,"$18,172","$198,684","$28,138","$3,474,851","$217,480","$1,002,954","$242,218","$30,406","$250,154","$413,143","$30,228","$254,826","$134,525","$52,667","$1,633"
2014,North Dakota,"$1,208,427","$294,322","$142,747","$27,592","$41,065","$105,321",$0,$112,"$102,858","$5,791","$334,094","$3,082","$40,973",$0,$0,"$28,614","$8,259","$1,014","$48,950","$18,089",$63,"$5,481"
2014,Ohio,"$13,623,904","$3,628,933","$708,001","$168,121","$390,908","$1,127,627","$2,808,465",$465,"$338,490",$649,"$1,923,907","$166,224","$739,458","$36,754",$864,"$284,124","$985,524","$14,784","$180,341","$61,687","$57,637",$940
2014,Oklahoma,"$4,754,557","$892,773","$285,753","$152,379","$218,760","$502,153","$77,174","$372,711","$229,680",$381,"$983,751","$307,902","$293,644","$92,318",$27,"$82,008","$33,565","$82,281","$47,856","$52,739","$4,015","$42,686"
2014,Oregon,"$6,427,174","$1,228,548","$658,589","$47,983","$132,251","$489,593","$1,624,606",$0,"$263,696","$9,273","$634,748","$230,607","$350,413","$57,376","$10,349","$229,419","$175,958","$57,232","$58,538","$146,555","$12,394","$9,047"
2014,Pennsylvania,"$3,258,356","$1,201,647","$55,126","$126,431","$18,898","$367,256",$0,$0,"$93,927","$4,303","$652,352","$111,246","$415,369","$30,024","$1,766","$26,594","$23,802","$34,728","$78,874","$7,534","$1,237","$7,243"
2014,Rhode Island,"$775,576","$274,261","$74,853","$19,034","$5,505","$109,714",$0,"$21,327","$7,286",$0,"$148,310",$0,"$58,833","$2,706",$0,"$8,999",$463,$0,"$38,147","$3,647","$1,710",$781
2014,South Carolina,"$4,337,105","$1,406,881","$410,690","$303,651","$93,584","$435,158",$0,$0,"$300,387","$10,566","$538,507","$65,689","$358,231","$1,873",$0,"$203,907","$51,786","$21,522","$72,484","$42,035","$10,825","$9,327"
2014,South Dakota,"$830,944","$235,110","$96,262","$22,631","$26,650","$72,473",$0,$0,"$51,931","$6,282","$180,855",$0,"$58,013","$4,412",$0,"$16,940","$4,639","$2,804","$6,530","$37,495",$206,"$7,710"
2014,Tennessee,"$4,669,083","$1,096,030","$293,642","$114,815","$182,533","$306,780",$0,"$74,470","$207,106","$14,692","$1,167,465","$5,707","$489,394","$236,285",$0,"$64,005","$146,260","$7,070","$170,176","$53,446","$22,790","$16,416"
2014,Texas,"$40,011,641","$4,973,609","$2,013,389","$755,791","$1,532,400","$1,357,923","$2,215,483","$56,867","$2,011,998","$44,497","$5,394,667","$1,623,483","$1,934,313","$19,700","$3,776","$1,149,643","$9,286,814","$450,890","$238,344","$593,955","$375,806","$3,978,294"
2014,Utah,"$5,457,950","$746,622","$396,413","$32,504","$124,230","$219,354","$1,579,004","$501,308","$348,745",$0,"$782,342",$0,"$251,066","$43,009",$391,"$118,560","$149,465","$1,121","$86,364","$48,102","$25,466","$3,884"
2014,Vermont,"$871,552","$358,086","$127,324","$5,809","$53,134","$104,931",$0,$0,"$30,480",$0,"$70,618",$0,"$28,107",$140,$0,"$22,706","$65,232",$12,"$3,088",$131,"$1,753",$0
2014,Virginia,"$10,237,120","$2,507,992","$832,137","$46,056","$164,769","$1,286,471","$1,262,465","$2,018","$209,939",$0,"$1,653,749","$3,000","$440,866","$19,459",$153,"$332,179","$936,314","$27,140","$266,754","$151,549","$13,154","$80,957"
2014,Washington,"$8,904,296","$1,849,687","$1,233,497","$348,463","$373,862","$632,670","$1,206,918",$0,"$450,280","$10,733","$1,198,436",$0,"$412,391","$105,498","$22,309","$163,008","$573,601","$53,837","$165,840","$43,054","$56,686","$3,528"
2014,West Virginia,"$1,864,324","$570,925","$130,088","$110,357","$94,285","$231,644",$0,$0,"$54,789",$598,"$404,539","$1,802","$133,477",$666,$0,"$31,568","$23,228","$6,896","$2,889","$44,059",$0,"$22,515"
2014,Wisconsin,"$6,403,153","$1,379,834","$672,274","$101,008","$311,360","$458,248",$0,$0,"$731,412","$15,311","$1,012,034","$795,338","$336,935","$7,115",$0,"$300,954","$65,216","$29,892","$94,546","$51,530","$3,061","$37,084"
2014,Wyoming,"$838,597","$83,823","$55,288","$45,673","$19,908","$59,212",$0,$0,"$37,334","$1,125","$327,692","$47,331","$32,417","$4,322",$0,"$27,087","$38,896","$9,510","$36,587","$5,190","$7,192",$9
2013,Total,"$317,862,048","$65,212,123","$27,055,148","$6,539,298","$10,825,851","$23,933,344","$32,138,587","$1,324,194","$16,487,727","$1,737,646","$58,268,392","$11,010,746","$22,587,101","$3,850,616","$281,084","$6,430,524","$10,478,390","$5,025,743","$5,176,184","$3,634,908","$941,713","$4,922,728"
2013,Alabama,"$6,873,908","$1,537,881","$665,854","$114,461","$130,191","$392,669","$1,525,475",$0,"$309,565","$2,239","$1,289,898","$1,337","$415,515",$116,$0,"$133,072","$205,354","$37,249","$13,402","$65,128","$32,114","$2,387"
2013,Alaska,"$1,074,808","$129,045","$124,980","$25,202","$55,837","$41,639",$0,$0,"$22,292",$0,"$377,504","$10,031","$26,433",$802,$0,"$1,080","$17,714","$65,224","$163,399","$11,511",$0,"$2,114"
2013,Arizona,"$5,594,952","$1,657,169","$571,487","$19,649","$157,822","$380,225",$0,$0,"$146,765","$12,526","$772,257","$763,521","$632,600","$45,294","$27,881","$157,001","$37,015","$146,220","$36,425","$21,434","$3,190","$6,470"
2013,Arkansas,"$3,733,515","$471,920","$242,121","$101,073","$100,392","$252,483","$886,577",$0,"$275,753","$3,380","$767,476","$30,714","$295,324","$117,127","$2,070","$105,555","$28,154","$6,063","$4,255","$40,389",$79,"$2,610"
2013,California,"$44,865,801","$6,333,744","$3,634,681","$864,173","$1,523,914","$1,940,032","$7,429,845",$0,"$4,191,088","$63,106","$7,372,696","$2,870,858","$2,981,678","$758,175","$64,064","$895,862","$448,199","$1,238,261","$435,692","$351,216","$24,411","$1,444,106"
2013,Colorado,"$6,343,673","$1,800,221","$924,086","$340,687","$203,711","$525,911","$682,542",$0,"$376,034","$512,785","$37,462","$84,976","$325,827","$9,804",$700,"$176,394","$139,853","$63,377","$8,382","$89,672","$4,802","$36,444"
2013,Connecticut,"$3,165,145","$605,119","$243,498","$61,519","$37,527","$282,691","$310,845","$184,462","$94,675",$0,"$933,264",$0,"$141,570","$35,961",$21,"$32,280","$1,463","$48,462","$131,878","$6,675",$34,"$13,200"
2013,Delaware,"$299,334","$72,320","$28,846","$15,600",$0,"$21,257",$0,$0,"$6,740",$0,"$107,278",$0,"$31,272",$0,"$4,548",$88,$467,$477,"$6,100",$0,$0,"$4,340"
2013,District of Columbia,"$165,210","$29,414","$13,327",$0,"$9,950",$661,$0,$0,"$3,090",$0,"$75,405",$0,"$9,479",$0,$0,"$1,210","$2,715",$0,"$19,960",$0,$0,$0
2013,Florida,"$10,873,504","$2,350,727","$1,090,769","$163,489","$874,682","$768,736",$0,"$10,966","$189,169",$237,"$2,894,901","$29,630","$1,415,744","$359,736","$3,772","$151,696","$91,681","$102,008","$182,510","$186,558",$22,"$6,473"
2013,Georgia,"$7,874,849","$1,853,601","$797,247","$64,740","$502,333","$814,399","$185,045",$3,"$239,368",$0,"$1,887,336",$69,"$852,536","$13,018","$17,082","$173,864","$21,322","$40,089","$17,566","$353,347",$61,"$41,826"
2013,Hawaii,"$1,576,969","$243,009","$347,834","$27,982","$41,657","$85,589",$0,"$43,062","$9,037",$0,"$372,872",$0,"$69,045","$156,320",$0,"$3,541","$7,584","$3,752","$128,379","$19,653",$0,"$17,651"
2013,Idaho,"$1,263,343","$314,123","$111,549","$36,546","$20,777","$121,324",$0,$0,"$43,229","$5,387","$334,283","$26,483","$131,290","$1,239",$0,"$55,890","$5,881","$10,063","$24,251","$20,127",$900,$0
2013,Illinois,"$12,349,342","$2,438,142","$865,063","$227,638","$194,255","$892,821","$675,818","$13,620","$771,808","$22,799","$1,830,398","$1,028,222","$797,544","$324,040","$16,013","$169,735","$76,187","$1,734,875","$122,848","$138,380","$4,152","$4,985"
2013,Indiana,"$6,721,568","$2,206,001","$576,799","$51,901","$237,241","$757,616",$0,$0,"$401,471","$16,337","$1,393,030","$8,241","$481,539","$81,903",$0,"$171,427","$201,879","$53,204","$15,016","$37,841","$27,373","$2,747"
2013,Iowa,"$5,164,897","$887,046","$541,718","$73,055","$73,731","$487,133","$1,356,530","$40,299","$280,416",$0,"$752,635","$117,353","$198,992","$4,424",$0,"$131,651","$94,144","$10,521","$54,131","$34,254",$0,"$26,864"
2013,Kansas,"$3,433,900","$805,357","$336,414","$67,361","$152,319","$336,940",$0,$0,"$233,041","$17,053","$747,985","$255,347","$239,396","$5,074","$2,110","$84,319","$23,086","$27,168","$35,004","$59,506","$1,898","$4,523"
2013,Kentucky,"$5,291,995","$977,383","$412,577","$166,783","$50,718","$313,301","$1,139,203",$0,"$412,244",$0,"$920,031","$19,349","$361,954","$131,156","$4,905","$86,234","$122,592","$34,374","$29,085","$39,238","$14,042","$56,826"
2013,Louisiana,"$3,985,874","$864,738","$311,532","$224,408","$227,280","$362,397","$337,874",$0,"$181,689",$0,"$874,193",$0,"$344,101","$2,977",$0,"$62,118","$26,522","$45,575","$67,178","$28,752","$19,119","$5,421"
2013,Maine,"$888,422","$223,351","$62,024","$38,866","$17,725","$90,931",$0,$0,"$53,602","$1,062","$251,703",$0,"$81,084",$324,$0,"$13,886","$25,932","$6,613","$6,951","$10,144","$1,260","$2,961"
2013,Maryland,"$6,909,387","$1,576,944","$761,387","$193,952","$239,630","$675,622",$0,"$2,264","$368,443","$432,535","$1,426,571","$318,138","$360,881","$9,112","$4,147","$67,959","$36,021","$80,468","$284,861","$52,086","$2,606","$15,760"
2013,Massachusetts,"$4,811,998","$1,274,642","$382,246","$120,806","$123,975","$463,163",$0,"$47,343","$647,614","$7,689","$1,044,314",$705,"$306,304","$8,493",$0,"$40,562","$77,075","$14,170","$183,436","$59,365",$104,"$9,992"
2013,Michigan,"$14,829,509","$3,730,051","$1,474,008","$68,356","$400,994","$1,079,795","$2,786,063","$11,125","$499,242","$10,535","$1,551,995","$511,749","$760,685","$4,251",$0,"$337,825","$1,116,703","$121,490","$51,219","$180,279","$131,552","$1,592"
2013,Minnesota,"$5,298,932","$1,290,654","$500,660","$50,382","$288,623","$615,603",$0,$0,"$186,895","$22,039","$1,099,848",$0,"$412,998","$166,548","$64,956","$178,301","$128,714","$3,534","$186,893","$34,074","$12,623","$55,588"
2013,Mississippi,"$4,046,857","$570,630","$320,370","$102,618","$78,244","$278,869","$813,262",$288,"$149,144","$20,613","$905,656","$63,053","$386,454","$35,464",$0,"$87,215","$21,983","$42,832","$135,203","$25,552","$3,984","$5,425"
2013,Missouri,"$4,930,446","$1,084,203","$264,285","$91,888","$88,299","$777,235","$705,836",$0,"$143,321","$29,258","$844,275","$150,618","$414,849","$7,166","$1,835","$88,390","$155,162","$16,642",$816,"$29,364","$36,331",$671
2013,Montana,"$992,157","$287,630","$158,417","$17,824","$17,342","$87,138",$0,$0,"$88,108","$3,346","$193,116","$8,622","$71,967",$419,$959,"$28,806","$5,903","$8,026","$2,779","$11,404",$162,$189
2013,Nebraska,"$2,503,592","$421,947","$225,302","$32,151","$165,429","$311,861","$27,392",$0,"$103,554",$0,"$631,041","$134,270","$132,153","$3,233",$614,"$104,008","$27,771","$33,612","$29,920","$118,012",$647,$673
2013,Nevada,"$1,474,459","$350,170","$151,051","$30,807","$41,039","$91,162",$0,$0,"$100,646",$0,"$464,295",$0,"$119,915",$0,$0,"$34,160","$65,430","$18,741",$-332,"$6,984",$392,$0
2013,New Hampshire,"$1,042,622","$392,293","$76,158","$11,528","$43,428","$198,053",$0,$0,"$28,616","$6,181","$94,372",$0,"$50,328",$470,$10,"$12,996","$3,872","$38,627","$15,569","$8,245","$48,863","$13,015"
2013,New Jersey,"$5,644,093","$1,960,857","$348,315","$147,403","$105,549","$575,479",$0,"$19,242","$149,614","$9,492","$1,127,237","$194,220","$510,337","$211,553",$536,"$45,364","$97,153","$33,449","$36,886","$36,873","$32,681","$1,854"
2013,New Mexico,"$3,312,433","$280,882","$384,351","$82,637","$83,370","$123,627","$646,086","$4,454","$260,339","$16,817","$711,375","$128,028","$230,904","$40,154",$0,"$35,932","$90,490","$140,365","$33,313","$5,196","$3,975","$10,138"
2013,New York,"$16,009,815","$2,528,253","$779,833","$567,307","$637,191","$676,389","$2,538,562",$0,"$186,417","$374,852","$4,312,155","$802,810","$1,282,672","$290,459","$2,372","$66,686","$16,476","$176,979","$627,701","$113,384","$25,101","$4,215"
2013,North Carolina,"$10,667,932","$1,653,429","$832,589","$98,034","$230,237","$1,476,638",$0,"$18,363","$190,969","$27,103","$3,549,146","$206,763","$1,023,976","$307,095","$26,397","$210,843","$299,120","$33,524","$193,358","$233,159","$52,926","$4,264"
2013,North Dakota,"$1,155,107","$285,907","$140,101","$22,742","$37,536","$114,628",$0,$264,"$85,048","$6,259","$312,859","$3,025","$42,910",$0,$183,"$26,174","$6,112","$1,055","$48,941","$19,915",$0,"$1,449"
2013,Ohio,"$13,133,332","$3,585,737","$758,270","$133,077","$424,066","$1,125,848","$2,674,429",$384,"$321,085","$1,709","$1,882,234","$153,629","$810,572","$40,051",$982,"$260,862","$640,132","$19,266","$153,237","$85,674","$58,838","$3,251"
2013,Oklahoma,"$4,592,442","$852,639","$286,646","$157,140","$172,470","$483,587","$66,254","$335,392","$202,753",$355,"$969,698","$304,223","$313,444","$91,368",$17,"$83,365","$25,541","$112,769","$51,753","$46,315","$3,853","$32,860"
2013,Oregon,"$5,941,762","$1,159,385","$658,823","$42,359","$123,584","$489,040","$1,509,144",$0,"$237,401","$8,972","$471,202","$219,987","$373,126","$45,790","$10,893","$258,997","$110,706","$77,083","$62,945","$67,598","$7,608","$7,118"
2013,Pennsylvania,"$3,263,778","$1,188,154","$61,878","$117,944","$19,950","$379,591",$0,$0,"$89,549","$4,403","$653,269","$113,607","$421,724","$31,601","$1,188","$22,597","$19,582","$32,929","$78,355","$18,724",$233,"$8,499"
2013,Rhode Island,"$762,531","$279,382","$82,265","$17,670",$553,"$105,945",$0,"$20,810","$9,849",$0,"$141,512",$0,"$56,434",$0,$0,"$8,390",$481,$294,"$33,376","$3,979",$10,"$1,581"
2013,South Carolina,"$4,219,702","$1,356,955","$421,329","$304,812","$83,626","$420,917",$0,$0,"$293,822","$10,948","$506,615","$64,424","$366,135","$2,580",$0,"$187,277","$33,635","$13,068","$83,932","$55,711","$6,956","$6,961"
2013,South Dakota,"$796,691","$223,345","$106,171","$21,257","$23,982","$67,673",$0,$0,"$52,653","$8,179","$168,873",$0,"$58,595","$7,860",$0,"$16,787","$3,796","$2,818","$7,629","$20,671",$129,"$6,273"
